run_id,run_index,interference_level,t_start_s,t_end_s,packets,delivered,dropped,loss_rate,delayed,avg_delay_s,avg_strength,avg_distance_m,min_distance_m,avg_x_m,avg_y_m,avg_z_m,avg_speed_m_s,pos_valid_frac,avg_satellites,avg_rssi,queue_max,random_drops,throttle_drops,burst_drops,blackout_drops
run_016,16,0.3061,0.00,5.00,573,563,10,0.0175,560,0.0531,0.2915,55.8815,55.8602,-0.0048,0.0549,0.0053,0.0162,0.9948,10.00,,41,10,0,0,0
run_016,16,0.3061,5.00,10.00,568,548,20,0.0352,548,0.0529,0.2931,55.8774,55.8600,-0.0055,0.0654,-0.0226,0.1125,1.0000,10.00,,29,20,0,0,0
run_016,16,0.3061,10.00,15.00,568,549,19,0.0335,549,0.0526,0.2933,55.8566,55.8520,-0.0099,0.1208,-5.3951,1.8654,1.0000,10.00,,26,19,0,0,0
run_016,16,0.3061,15.00,20.00,577,562,15,0.0260,562,0.0558,0.3160,53.6558,43.7345,1.7425,1.5565,-9.9571,2.3186,1.0000,10.00,,27,15,0,0,0
run_016,16,0.3061,20.00,25.00,586,329,257,0.4386,329,0.0556,0.5559,32.4893,28.0060,18.9673,15.5896,-9.9800,3.6388,1.0000,10.00,,26,37,220,0,0
run_016,16,0.3061,25.00,30.00,589,275,314,0.5331,275,0.0560,0.6558,24.5726,14.2440,25.8897,21.2585,-9.9907,3.4695,1.0000,10.00,,14,40,274,0,0
run_016,16,0.3061,30.00,35.00,578,264,314,0.5433,264,0.0684,0.8151,12.7405,12.2304,43.0451,35.1532,-9.9904,2.3681,1.0000,10.00,,14,49,265,0,0
run_016,16,0.3061,35.00,40.00,589,222,367,0.6231,222,0.0594,0.8604,9.5564,5.3396,50.2374,31.9523,-9.9944,4.4351,1.0000,10.00,,14,57,221,89,0
run_016,16,0.3061,40.00,45.00,588,265,323,0.5493,265,0.0617,0.7492,17.5222,12.7098,66.3118,18.6354,-9.9841,1.6932,1.0000,10.00,,14,57,266,0,0
run_016,16,0.3061,45.00,50.00,589,382,207,0.3514,382,0.0622,0.5588,32.4350,19.6230,78.1752,9.0095,-9.9896,5.3873,1.0000,10.00,,27,46,161,0,0
run_016,16,0.3061,50.00,55.00,586,560,26,0.0444,560,0.0661,0.3762,47.9091,46.0765,90.2917,-0.9193,-9.9884,1.7947,1.0000,10.00,,27,26,0,0,0
run_016,16,0.3061,55.00,60.00,584,546,38,0.0651,546,0.0304,0.1789,68.6135,54.8532,106.3970,-14.0745,-9.9893,4.2900,1.0000,10.00,,27,10,0,28,0
run_016,16,0.3061,60.00,65.00,577,569,8,0.0139,569,0.0224,0.1230,75.2608,75.2006,111.5188,-18.3547,-11.4771,0.9226,1.0000,10.00,,27,8,0,0,0
run_016,16,0.3061,65.00,70.00,575,562,13,0.0226,562,0.0314,0.1768,68.7796,56.3232,104.2303,-17.1666,-14.9627,4.6158,1.0000,10.00,,27,13,0,0,0
run_016,16,0.3061,70.00,75.00,576,411,165,0.2865,411,0.0578,0.4595,40.6742,32.7170,65.0484,-10.7465,-14.9948,9.7640,1.0000,10.00,,28,20,124,21,0
run_016,16,0.3061,75.00,80.00,575,477,98,0.1704,477,0.0633,0.4276,43.4627,32.8453,18.2110,-2.9714,-14.9972,7.9748,1.0000,10.00,,28,31,67,0,0
run_016,16,0.3061,80.00,85.00,576,557,19,0.0330,557,0.0513,0.2909,56.0939,54.3762,-0.2757,0.1238,-14.9919,0.4909,1.0000,10.00,,28,19,0,0,0
run_016,16,0.3061,85.00,90.00,565,541,24,0.0425,541,0.0511,0.2922,55.9615,55.8738,-0.0824,0.0312,-14.6065,0.4959,1.0000,10.00,,27,20,0,4,0
run_016,16,0.3061,90.00,95.00,559,539,20,0.0358,539,0.0515,0.2928,55.9034,55.8608,-0.0122,0.0208,-10.2423,0.7520,1.0000,10.00,,26,20,0,0,0
run_016,16,0.3061,95.00,100.00,555,541,14,0.0252,541,0.0524,0.2929,55.8967,55.8532,-0.0016,0.0144,-7.5762,0.5016,1.0000,10.00,,26,14,0,0,0
run_016,16,0.3061,100.00,105.00,556,542,14,0.0252,542,0.0525,0.2929,55.8949,55.8538,0.0003,0.0146,-5.0704,0.5006,1.0000,10.00,,27,14,0,0,0
run_016,16,0.3061,105.00,110.00,555,541,14,0.0252,541,0.0533,0.2929,55.8948,55.8552,0.0002,0.0151,-2.5707,0.4938,1.0000,10.00,,26,14,0,0,0
run_016,16,0.3061,110.00,115.00,562,544,18,0.0320,544,0.0528,0.2929,55.8949,55.8566,0.0002,0.0150,-0.3399,0.2835,1.0000,10.00,,26,18,0,0,0
run_016,16,0.3061,115.00,120.00,83,81,2,0.0241,81,0.0542,0.2929,55.8958,55.8593,-0.0002,0.0135,0.0034,0.0126,1.0000,10.00,,26,2,0,0,0
